S_NO,TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
,2026-05-06,JKM,16.83849000,16.85286000,16.81449000,16.58570000,16.25785000,15.93093000,16.06454000,15.74939000,15.44244000,14.53751000,12.97754000,12.16886000,12.09896000,12.25063000,12.32394000,12.35840000,12.57112000,12.47211000,12.73996000,12.37406000,12.20040000,11.55077000,10.16880000,9.57743000,9.40554000,9.46691000,9.47092000,9.50225000,9.53875000,9.68534000,9.83222000,9.94224000,9.96958000,9.88735000,8.64263000,8.53980000
,2026-05-06,TTF,43.80000000,43.78500000,43.76500000,43.77631000,43.57793000,43.16811000,43.07552000,42.84112000,42.49359000,41.07595000,36.20500000,34.13965000,33.33419000,33.37811000,33.41156000,33.54868000,33.62356000,33.52251000,33.89628000,33.81748000,33.29216000,31.41753000,27.47063000,25.77006000,25.25989000,25.40979000,25.39708000,25.46190000,25.54105000,25.93000000,26.31895000,26.53296000,26.58592000,26.33137000,22.81872000,22.50960000
,2026-05-05,TTF,46.85000000,46.91000000,46.89327000,46.92923000,46.71725000,46.32430000,46.13375000,45.97603000,45.60307000,44.08169000,37.80806000,35.65126000,34.81014000,34.64557000,34.68029000,34.82262000,34.84142000,34.73671000,35.12402000,34.95048000,34.40756000,32.47012000,27.72000000,26.00400000,25.48920000,25.58720000,25.57440000,25.63968000,25.74051000,26.13250000,26.52449000,26.63567000,26.68883000,26.43330000,22.88622000,22.57619000
,2026-05-05,THE,47.30500000,47.56896000,47.79102000,47.92735000,48.12398000,47.92430000,47.92468000,47.92603000,47.55307000,46.03169000,39.45806000,37.30126000,36.46014000,36.09557000,36.13029000,36.27262000,37.12892000,37.02421000,37.41152000,36.96298000,36.42006000,34.48262000,29.44148000,27.71690000,26.78905000,26.89058000,27.01365000,27.63651000,28.16074000,28.55371000,28.73244000,28.62809000,28.53883000,28.14188000,24.58622000,24.27619000
,2026-05-05,JKM,17.82506000,17.79117000,17.75462000,17.58435000,17.22738000,16.93174000,17.00626000,16.76811000,16.45262000,15.51322000,13.47451000,12.63738000,12.55651000,12.63560000,12.70919000,12.74518000,12.93815000,12.83799000,13.10988000,12.71083000,12.53190000,11.86350000,10.20660000,9.61265000,9.43992000,9.48261000,9.48643000,9.51768000,9.56150000,9.70828000,9.85533000,9.92840000,9.95553000,9.87324000,8.62283000,8.52012000
,2026-05-04,JKM,17.18637000,17.24233000,17.19964000,17.02049000,16.66964000,16.42398000,16.58246000,16.31728000,16.00428000,15.07936000,13.19933000,12.37713000,12.30187000,12.39621000,12.46910000,12.50361000,12.71978000,12.61981000,12.88875000,12.50769000,12.33147000,11.67392000,10.19489000,9.60147000,9.42893000,9.49774000,9.50150000,9.53273000,9.57259000,9.71946000,9.86664000,9.96408000,9.99125000,9.90859000,8.67154000,8.56818000
,2026-05-04,THE,45.75000000,46.23187000,46.22264000,46.25898000,46.55659000,46.49769000,46.66718000,46.67215000,46.30956000,44.83050000,38.68796000,36.57509000,35.75111000,35.43190000,35.46595000,35.60556000,36.57997000,36.47706000,36.85771000,36.46193000,35.92757000,34.02068000,29.45869000,27.73460000,26.80663000,26.98212000,27.10562000,27.73055000,28.21752000,28.61135000,28.79052000,28.75649000,28.66684000,28.26803000,24.74710000,24.43488000
,2026-05-04,TTF,45.22500000,45.33000000,45.29764000,45.31009000,45.11856000,44.87269000,44.85626000,44.69715000,44.33456000,42.85550000,37.03796000,34.92509000,34.10111000,33.98190000,34.01595000,34.15556000,34.24247000,34.13956000,34.52021000,34.39943000,33.86507000,31.95818000,27.71213000,25.99661000,25.48196000,25.65467000,25.64183000,25.70728000,25.79715000,26.19000000,26.58285000,26.76342000,26.81684000,26.56008000,23.04710000,22.73488000
,2026-05-01,TTF,45.22500000,45.33000000,45.29764000,45.31009000,45.11856000,44.87269000,44.85626000,44.69715000,44.33456000,42.85550000,37.03796000,34.92509000,34.10111000,33.98190000,34.01595000,34.15556000,34.24247000,34.13956000,34.52021000,34.39943000,33.86507000,31.95818000,27.71213000,25.99661000,25.48196000,25.65467000,25.64183000,25.70728000,25.79715000,26.19000000,26.58285000,26.76342000,26.81684000,26.56008000,23.04710000,22.73488000
,2026-05-01,THE,45.75000000,46.23187000,46.22264000,46.25898000,46.55659000,46.49769000,46.66718000,46.67215000,46.30956000,44.83050000,38.68796000,36.57509000,35.75111000,35.43190000,35.46595000,35.60556000,36.57997000,36.47706000,36.85771000,36.46193000,35.92757000,34.02068000,29.45869000,27.73460000,26.80663000,26.98212000,27.10562000,27.73055000,28.21752000,28.61135000,28.79052000,28.75649000,28.66684000,28.26803000,24.74710000,24.43488000
,2026-05-01,JKM,17.27062000,17.32705000,17.28469000,17.10596000,16.75525000,16.50981000,16.66841000,16.40353000,16.09082000,15.16355000,13.27260000,12.44679000,12.36970000,12.46367000,12.53647000,12.57101000,12.78725000,12.68685000,12.95630000,12.57491000,12.39748000,11.73586000,10.24855000,9.65171000,9.47797000,9.54695000,9.55054000,9.58167000,9.62159000,9.76904000,9.91672000,10.01436000,10.04144000,9.95810000,8.71439000,8.61032000
,2026-04-30,THE,46.13500000,46.22500000,46.69020000,46.64398000,46.84480000,47.04396000,46.98435000,47.15561000,47.09166000,46.72567000,45.23273000,38.96300000,36.83444000,36.00433000,35.66892000,35.70321000,35.84379000,36.80952000,36.70585000,37.08933000,36.67898000,36.14086000,34.22055000,29.53507000,27.80314000,26.87182000,27.05136000,27.17515000,27.80182000,28.20367000,28.59882000,28.77939000,28.60815000,28.51915000,28.12153000,25.01468000
